Ref,Val,Package,PosX,PosY,Rot,Side
C1,1uF,C_0603,75.334000,-64.389000,270.000000,bottom
C2,18pF,C_0603,92.000000,-68.750000,90.000000,bottom
C3,18pF,C_0603,92.000000,-64.770000,90.000000,bottom
C4,1uF,C_0603,80.668000,-60.350400,270.000000,bottom
C5,1uF,C_0603,172.409000,-64.627000,270.000000,bottom
C6,18pF,C_0603,189.750000,-68.250000,90.000000,bottom
C7,18pF,C_0603,189.750000,-65.000000,90.000000,bottom
C8,1uF,C_0603,177.743000,-60.588400,270.000000,bottom
D1,D_x2_KCom_AAK,SOT-23,52.832000,-82.042000,270.000000,bottom
D2,D_x2_KCom_AAK,SOT-23,89.281000,-81.915000,270.000000,bottom
D3,D_x2_KCom_AAK,SOT-23,113.284000,-81.788000,270.000000,bottom
D4,D_x2_KCom_AAK,SOT-23,43.307000,-100.965000,270.000000,bottom
D5,D_x2_KCom_AAK,SOT-23,81.407000,-100.838000,270.000000,bottom
D6,D_x2_KCom_AAK,SOT-23,118.999000,-100.838000,270.000000,bottom
D7,D_x2_KCom_AAK,SOT-23,51.181000,-120.015000,270.000000,bottom
D8,D_x2_KCom_AAK,SOT-23,81.026000,-120.015000,270.000000,bottom
D9,D_x2_KCom_AAK,SOT-23,113.538000,-120.142000,270.000000,bottom
D10,D_x2_KCom_AAK,SOT-23,43.053000,-132.207000,270.000000,bottom
D11,D_x2_KCom_AAK,SOT-23,81.153000,-132.207000,270.000000,bottom
D12,D_x2_KCom_AAK,SOT-23,100.076000,-132.207000,270.000000,bottom
D13,D_x2_KCom_AAK,SOT-23,168.910000,-81.788000,270.000000,bottom
D14,D_x2_KCom_AAK,SOT-23,205.994000,-81.788000,270.000000,bottom
D15,D_x2_KCom_AAK,SOT-23,235.585000,-81.788000,270.000000,bottom
D16,D_x2_KCom_AAK,SOT-23,159.512000,-100.965000,270.000000,bottom
D17,D_x2_KCom_AAK,SOT-23,198.247000,-100.965000,270.000000,bottom
D18,D_x2_KCom_AAK,SOT-23,229.235000,-100.965000,270.000000,bottom
D19,D_x2_KCom_AAK,SOT-23,168.275000,-120.269000,270.000000,bottom
D20,D_x2_KCom_AAK,SOT-23,197.358000,-120.269000,270.000000,bottom
D21,D_x2_KCom_AAK,SOT-23,228.981000,-120.269000,270.000000,bottom
D22,D_x2_KCom_AAK,SOT-23,177.673000,-132.334000,270.000000,bottom
D23,D_x2_KCom_AAK,SOT-23,197.358000,-132.207000,270.000000,bottom
D24,D_x2_KCom_AAK,SOT-23,235.458000,-132.207000,270.000000,bottom
FID1,Fiducial,Fiducial_1mm_Dia_2mm_Outer,29.000000,-102.000000,0.000000,bottom
FID2,Fiducial,Fiducial_1mm_Dia_2mm_Outer,133.250000,-82.500000,0.000000,bottom
FID3,Fiducial,Fiducial_1mm_Dia_2mm_Outer,145.250000,-102.000000,0.000000,bottom
FID4,Fiducial,Fiducial_1mm_Dia_2mm_Outer,249.500000,-82.500000,0.000000,bottom
R1,4k7,R_0603,99.146500,-89.916000,270.000000,bottom
R2,4k7,R_0603,101.559500,-89.916000,270.000000,bottom
R3,200R,R_0603,81.684000,-76.200000,270.000000,bottom
R4,22R,R_0603,74.612500,-61.404500,0.000000,bottom
R5,22R,R_0603,74.612500,-59.880500,0.000000,bottom
R6,4k7,R_0603,85.979000,-61.087000,0.000000,bottom
R7,22R,R_0603,204.978000,-59.436000,180.000000,bottom
R8,22R,R_0603,204.978000,-60.960000,180.000000,bottom
R9,4k7,R_0603,183.134000,-61.595000,0.000000,bottom
R10,200R,R_0603,186.182000,-82.423000,0.000000,bottom
U1,ATMega32U4,QFN44G-0.5-7X7MM,81.067518,-67.173000,270.000000,bottom
U2,ATMega32U4,QFN44G-0.5-7X7MM,178.142518,-67.411000,270.000000,bottom
Y1,Crystal,Crystal_SMD_Abracon_ABM3-2pin_5.0x3.2mm,89.250000,-66.500000,90.000000,bottom
Y2,Crystal,Crystal_SMD_Abracon_ABM3-2pin_5.0x3.2mm,186.750000,-66.500000,90.000000,bottom
